Frequency,Nominal,Min,Max
1950,-0.12969072497254205,-0.14990004383184818,-0.11082267273864617
2000,-0.13303045756303464,-0.15376561678635928,-0.11367326807492945
2050,-0.1363712680477358,-0.15763283779877088,-0.11652454132349632
2100,-0.13971318206732192,-0.16150174537366377,-0.11937650883713136
2150,-0.14305622516483296,-0.16537237781359018,-0.12222918692425504
2200,-0.1464004227831915,-0.16924477321388293,-0.125082591847808
2250,-0.14974580026271472,-0.17311896945744754,-0.12793673982413203
2300,-0.15309238283862028,-0.17699500420953707,-0.13079164702184887
2350,-0.15644019563852474,-0.18087291491251054,-0.13364732956073702
2400,-0.15978926367993546,-0.18475273878057316,-0.13650380351060556
2450,-0.1631396118677356,-0.18863451279449922,-0.13936108489016596
2500,-0.16649126499166156,-0.19251827369633798,-0.14221918966590089
2550,-0.1698442477237743,-0.19640405798410165,-0.14507813375093062
2600,-0.17319858461592216,-0.20029190190643517,-0.14793793300387742
2700,-0.1799114184713868,-0.2080739123704577,-0.15366016016868358
2750,-0.18326996391441006,-0.21196815011438933,-0.15652261951503343
2800,-0.18662996047175742,-0.21586458988659363,-0.1593859968959908
2850,-0.1899914320559152,-0.21976326660832043,-0.16225030788055156
2900,-0.19335440244378585,-0.2236642149191057,-0.16511556797634094
2950,-0.19671889527410022,-0.2275674691713185,-0.1679817926284577
3000,-0.20008493404482222,-0.2314730634246928,-0.17084899721831745
3050,-0.203452542110546,-0.23538103144084005,-0.17371719706249086
3100,-0.2068217426798866,-0.23929140667774668,-0.17658640741154116
3150,-0.21019255881286217,-0.24320422228425423,-0.17945664344885737
3200,-0.21356501341826906,-0.24711951109452293,-0.18232792028948505
3300,-0.22031492890965293,-0.254957638056252,-0.1880736564921073
3400,-0.22707166929976746,-0.26280604373122335,-0.19382373552830126
3500,-0.23383541214557407,-0.27066497889587976,-0.19957827573816103
3600,-0.24060633232999024,-0.27853468875496834,-0.20533739425506084
3700,-0.24738460197616152,-0.28641541276080235,-0.2111012069675502
3900,-0.2609638638300398,-0.3022108311696103,-0.22264337207943977
4000,-0.26776518570750646,-0.3101259740771785,-0.22842194968627455
4100,-0.2745745162118158,-0.3180530277740383,-0.23420567182606938
4200,-0.2813920123663199,-0.3259922002127159,-0.23999464758521777
4320,-0.2895840026401508,-0.3355354865350542,-0.24694850468101154
4450,-0.2984724780750185,-0.34589445316728396,-0.25449077401024933
4580,-0.3073756372282375,-0.35627503654561243,-0.2620425469468126
4750,-0.3190408998666379,-0.3698828975673177,-0.2719326538456261
4880,-0.32797910911009204,-0.3803147921193614,-0.2795072044884587
5000,-0.33624366342900436,-0.3899644622314755,-0.2865081685478441
5150,-0.34659345688124066,-0.4020542371046678,-0.2952718746925312
5300,-0.3569648474608239,-0.4141751797000259,-0.3040497604377338
5500,-0.37082761858278446,-0.43038558834200447,-0.31577618418419556
5650,-0.38125084469080733,-0.44258069565831726,-0.32458830926696197
5800,-0.3916968499210899,-0.4548080925630283,-0.33341557837207314
6000,-0.40566081390438746,-0.471161911865788,-0.3452092874157848
6150,-0.4161611124851543,-0.4834654695830275,-0.35407291107940936
6300,-0.4266851094815543,-0.4958018955820243,-0.3629525248867105
6450,-0.43723302574720097,-0.5081712505802594,-0.37184835787695847
6600,-0.44780505561578987,-0.5205735410949027,-0.38076062709013303
6750,-0.45840136625968636,-0.5330087183357031,-0.3896895372561706
6880,-0.4676045843948421,-0.5438123938481612,-0.3974415355693327
7000,-0.4761162070009763,-0.5538067838176344,-0.40460855003328955
7150,-0.486777870360939,-0.5663289887096437,-0.41358274002932294
7320,-0.49889089162608213,-0.5805597527254327,-0.42377438775160275
7500,-0.5117510025449709,-0.5956721985107324,-0.43458996736796907
7650,-0.5224949097300635,-0.6083004492492845,-0.4436222944464746
7800,-0.5332634562270041,-0.6209596160204895,-0.4526723251531638
8000,-0.5476597177520259,-0.6378856826260186,-0.464766734281175
8200,-0.5620993926445226,-0.6548643594025296,-0.4768929684486461
8400,-0.5765821181738439,-0.6718940347130248,-0.48905116330985754
8600,-0.5911074260971119,-0.6889728980907619,-0.5012414047833941
8800,-0.6056747411061487,-0.7060989401209244,-0.5134637279480676
9000,-0.6202833794684472,-0.723269952991371,-0.5257181159807607
9200,-0.6349325478767713,-0.740483531742032,-0.5380044991406858
9400,-0.6496213425217701,-0.7577370762389382,-0.5503227538046791
9600,-0.6643487484016712,-0.7750277938947979,-0.562672701558247
9800,-0.6791136388826526,-0.7923527031534393,-0.5750541083471661
10000,-0.6939147755228986,-0.8097086377504034,-0.5874666836944901
10200,-0.7087508081725984,-0.8270922517564703,-0.5999100799878611
10400,-0.723620275361269,-0.8445000254050642,-0.6123838918420208
10600,-0.7385216049827483,-0.8619282716982846,-0.624887655541408
10800,-0.7534531152870301,-0.8793731437798973,-0.6374208485676732
11000,-0.7684130161868005,-0.8968306430570041,-0.6499828892168731
11200,-0.7833994108850861,-0.9142966280454323,-0.6625731363109784
11500,-0.8059242723181598,-0.9405021310600591,-0.6815098446071707
11800,-0.8284970324864045,-0.9667021438864855,-0.7005058091143879
12000,-0.8435683755089217,-0.9841581462756914,-0.7132012762825461
12200,-0.858655207607217,-1.0016001393014455,-0.7259208489507132
12500,-0.8813090392446202,-1.027726392934746,-0.7450432060664423
12800,-0.9039833667753155,-1.0537939808616228,-0.7642139254900323
13000,-0.9191064700239091,-1.0711315864158981,-0.7770193557481319
13200,-0.9342318219793182,-1.088430785072507,-0.789843321928072
13500,-0.9569177705376964,-1.114296706229788,-0.8091112037383861
13800,-0.9795923625543175,-1.1400482996500405,-0.8284133321912927
14000,-0.9946974129721466,-1.1571442952832063,-0.8412980724311484
14200,-1.0097897952109482,-1.174177206988805,-0.8541944027762277
14500,-1.0323977729935672,-1.1995977585443025,-0.8735572468838496
14800,-1.0549595365427549,-1.2248495482342452,-0.8929372970279119
15000,-1.0699697121392657,-1.241582614269886,-0.9058641246241964
15500,-1.107363193987254,-1.2830276541490648,-0.9381923955165038
16000,-1.1445279177912033,-1.3238659747243124,-0.9705142497117658
16500,-1.1814139523805385,-1.3640358506462402,-1.0028006108042353
17000,-1.2179723531117652,-1.4034814298848688,-1.0350213904681622
17500,-1.25415574551806,-1.4421532410655988,-1.0671457600964316
18000,-1.2899188609705767,-1.4800085127710512,-1.0991424343500449
18500,-1.3252190120047875,-1.5170113132373444,-1.130979961089013
19000,-1.3600164977985703,-1.553132525864013,-1.162627011917314
19500,-1.3942749334080915,-1.5883496810677864,-1.1940526675514664
20000,-1.4279614995589356,-1.6226466681778748,-1.2252266924155744
20500,-1.4610471128537676,-1.6560133524138752,-1.256119793263987
21000,-1.4935065190252241,-1.6884451217589678,-1.2867038572125753
21500,-1.5253183142068507,-1.71994238707001,-1.316952165287732
22000,-1.5564649010361438,-1.7505100564082097,-1.3468395784379776
22500,-1.5869323877093413,-1.780157001670993,-1.3763426938520509
23000,-1.6167104388864826,-1.80889553245703,-1.4054399703444815
23500,-1.6457920876400132,-1.8367408889442547,-1.4341118224624223
24000,-1.67417351751717,-1.8637107625845488,-1.462340683798602
24500,-1.7018538233258207,-1.889824850738169,-1.4901110407345124
25000,-1.7288347585404633,-1.9151044490536153,-1.5174094384633958
25500,-1.7551204763425,-1.9395720834700574,-1.5442244616410397
26000,-1.780717270331564,-1.9632511821741323,-1.5705466923787728
27000,-1.8298784445660683,-2.0083403001223683,-1.6216847053356584
27500,-1.8534638696109829,-2.0297992709764276,-1.6464910035068068
28000,-1.8764020065604277,-2.0505672085917848,-1.6707853467271812
28500,-1.8987062487539068,-2.070668428542963,-1.694567091412979
29000,-1.9203907836471383,-2.0901269242904688,-1.7178370313408078
29500,-1.9414704219394348,-2.108966262416715,-1.7405972795052553
30000,-1.9619604434785602,-2.127209498612956,-1.7628511492874517
30500,-1.9818764595215572,-2.1448791117879002,-1.7846030367276549
31000,-2.001234290675715,-2.161996953867652,-1.8058583054077388
31500,-2.0200498596617624,-2.1785842130710042,-1.8266231751727418
32000,-2.0383390979202702,-2.1946613886628663,-1.8469046156610895
33000,-2.0734018797288822,-2.225363956117674,-1.8860482368136673
34000,-2.1065474834531224,-2.254254472441417,-1.9233562405288138
35000,-2.137896862070275,-2.281471465124183,-1.9589018888482388
36000,-2.167565898215207,-2.3071425152266922,-1.992762326792382
37000,-2.1956646619554467,-2.331384785645889,-2.0250166788990036
39000,-2.2475603824720687,-2.3760034150517795,-2.085024666173453
40000,-2.2715459101746633,-2.3965679529867696,-2.112934278311447
41000,-2.2943384781730227,-2.4160814602820175,-2.139548170303342
42000,-2.316017005238643,-2.4346190845303375,-2.1649383426312587
43200,-2.3406634387655405,-2.4556724214332553,-2.193887976792004
44500,-2.3658069000687796,-2.477130457303627,-2.2235037753912237
45800,-2.389462017836179,-2.4973041317750972,-2.251433710711661
47500,-2.4183506889016817,-2.5219281285676494,-2.285619151970685
48800,-2.4390159972174135,-2.5395375015416004,-2.3101170872640897
50000,-2.457087771996801,-2.55493548259383,-2.3315654170012556
51500,-2.478429458441575,-2.5731202234761192,-2.3569193880766535
53000,-2.498497151152335,-2.5902222984417227,-2.3807793119614122
55000,-2.523458222547178,-2.611501850093881,-2.4104761777114048
56500,-2.540955823722719,-2.626425604817186,-2.431301430264127
58000,-2.557499185263139,-2.640542214575945,-2.4509937162314794
60000,-2.5782020449382403,-2.658219336204725,-2.4756369642512683
61500,-2.5927996645637017,-2.670692243580158,-2.4930102575191064
63000,-2.606667056006983,-2.6825488655819263,-2.509510591975524
64500,-2.6198579073066814,-2.6938347404047724,-2.52520104601256
66000,-2.6324208933631716,-2.704591099534593,-2.5401390390296394
67500,-2.6444002303438,-2.7148553586292525,-2.5543769101872233
68800,-2.6543414142491253,-2.723379375707572,-2.5661871134939838
70000,-2.6631764790297425,-2.7309599431677007,-2.5766787598628706
71500,-2.673786699480109,-2.740070240168418,-2.5892722521286533
73200,-2.6852662553251325,-2.749935723125957,-2.6028892446073217
75000,-2.696834093695721,-2.759887014446759,-2.6166012899600424
76500,-2.706044693234397,-2.767818176406867,-2.6275115726286393
78000,-2.714890504421585,-2.7754421218475542,-2.6379828991584224
80000,-2.7261550621589214,-2.785161239534055,-2.6513069586771354
82000,-2.7368571231980656,-2.7944068543735705,-2.663953909910706
84000,-2.7470392868655513,-2.803214972057209,-2.675974934663686
86000,-2.756740024910803,-2.811618127428293,-2.6874162711114558
88000,-2.765994167530626,-2.819645794330171,-2.6983197869577067
90000,-2.7748333230838007,-2.82732473899674,-2.708723476700004
92000,-2.7832862416488693,-2.8346793257882057,-2.7186618940631777
94000,-2.791379130876144,-2.8417317825558523,-2.7281665289450063
96000,-2.7991359311888537,-2.848502431685712,-2.7372661367756956
98000,-2.8065785562403054,-2.8550098918647864,-2.745987026980553
100000,-2.8137271035874907,-2.8612712547897807,-2.754353316217439
102000,-2.8206000397591757,-2.8673022403615525,-2.7623871512058886
104000,-2.8272143632478857,-2.8731173333504363,-2.7701089052464907
106000,-2.8335857484160143,-2.878729904055788,-2.777537351924883
108000,-2.8397286728567166,-2.884152315099603,-2.7846898189857106
110000,-2.845656530374379,-2.8893960161745347,-2.7915823249324543
112000,-2.8513817314343046,-2.894471628299486,-2.798229700546094
115000,-2.8596145202299788,-2.901791275321472,-2.80777095461534
118000,-2.8674525640860375,-2.9087852328192594,-2.8168337325563106
120000,-2.8724745165713457,-2.913280592351183,-2.8226286981603814
122000,-2.8773439355095687,-2.917650905052659,-2.828238286015404
125000,-2.8843796215870783,-2.923987051325347,-2.836325953873429
128000,-2.891115345860298,-2.9300791583048005,-2.8440478832841296
130000,-2.8954505391594902,-2.9340148111029802,-2.8490061128400903
132000,-2.899668840917362,-2.9378562248223252,-2.853821255698008
135000,-2.905789856165658,-2.9434527057173683,-2.8607907424427346
138000,-2.911679337272755,-2.9488645061141745,-2.86747547846133
140000,-2.9154853778457324,-2.9523770522314683,-2.871783622588014
142000,-2.9192006270782,-2.9558180877739404,-2.875979488126902
145000,-2.9246127521994496,-2.960853862446961,-2.8820739193077323
148000,-2.9298441118423377,-2.965749347785877,-2.8879433583938634
150000,-2.9332375540737106,-2.96894060114182,-2.891738702835768
155000,-2.941416954396076,-2.9766875957710828,-2.900844962548874
160000,-2.9492010678145513,-2.984139175690138,-2.9094512321039803
165000,-2.9566340488006455,-2.991334599584855,-2.9176089099129374
170000,-2.9637549893603,-2.9983088156640547,-2.9253633395278245
175000,-2.970598659039356,-3.0050930887555753,-2.9327546993518334
180000,-2.9771961186420186,-3.0117155206934716,-2.9398187398121287
185000,-2.9835752321209204,-3.0182014845564216,-2.946587397662542
190000,-2.9897610958247296,-3.0245739888986756,-2.953089310670605
195000,-2.995776400261626,-3.0308539847363547,-2.959350251046763
200000,-3.0016417364360684,-3.0370606254482886,-2.965393492206065
205000,-3.0073758564112536,-3.0432114877292653,-2.9712401205325265
210000,-3.012995895871143,-3.0493227601532222,-2.97690930153735
215000,-3.0185175649789233,-3.055409404660138,-2.9824185080117185
220000,-3.023955312660109,-3.0614852952953227,-2.9877837163594383
225000,-3.0293224685082234,-3.0675633377449603,-2.9930195761689697
230000,-3.034631365766298,-3.0736555725828727,-2.9981395571840204
235000,-3.0398934482380207,-3.0797732646368745,-3.0031560771078336
240000,-3.0451193634973928,-3.08592698047286,-3.0080806130910105
245000,-3.0503190443714785,-3.0921266556609956,-3.0129237992772806
250000,-3.055501780348687,-3.0983816532155632,-3.017695512393591
255000,-3.060676280300734,-3.104700814376048,-3.0224049470527308
260000,-3.0658507276885913,-3.111092502712454,-3.0270606821747617
270000,-3.0762298579560885,-3.124124751262462,-3.0362426367217545
275000,-3.0814486911107157,-3.1307799694947036,-3.0407834315438027
280000,-3.086695843939697,-3.1375370840530894,-3.0452997649890445
285000,-3.0919774994566964,-3.1444025496708656,-3.0497978969971404
290000,-3.097299534896694,-3.15138250656008,-3.05428373940713
295000,-3.1026675451563643,-3.158482795226644,-3.0587628852728153
300000,-3.108086863567452,-3.1657089686625866,-3.063240635130514
305000,-3.113562580291725,-3.1730663021580243,-3.0677220205679685
310000,-3.1190995585876924,-3.1805598009449634,-3.0722118253972193
315000,-3.1247024491665054,-3.1881942058597725,-3.0767146046949523
320000,-3.1303757028263917,-3.1959739971902463,-3.0812347019401396
330000,-3.1419501680757733,-3.211986369058042,-3.090343257288964
340000,-3.153854949149148,-3.2286275934362774,-3.099568556948608
350000,-3.166119415024927,-3.2459241693223007,-3.1089391228953756
360000,-3.178770490676012,-3.2638982988816285,-3.1184812449468327
370000,-3.191832780270863,-3.2825677062351364,-3.1282192328827914
390000,-3.219278209330279,-3.322039444423386,-3.148371321878274
400000,-3.233699400978237,-3.3428526005642674,-3.1588257692038453
410000,-3.248607863980683,-3.3643821088167907,-3.1695569988258083
420000,-3.2640169152831264,-3.3866193746176108,-3.1805817280124136
432000,-3.2831837167625255,-3.4142172398595076,-3.1942204827345315
445000,-3.304794858294843,-3.445197248189536,-3.209525922211261
458000,-3.327296993101251,-3.4772391825079376,-3.225409471639429
475000,-3.358069936860129,-3.520601624243687,-3.247092042247538
488000,-3.3826224313380324,-3.5547468688002306,-3.264395255933406
500000,-3.4060543806767636,-3.5869082667359398,-3.2809382372838094
515000,-3.436346903946622,-3.627809984996248,-3.302401499974166
530000,-3.4676984177807264,-3.6692766800805625,-3.3247463281168237
550000,-3.5110146750139397,-3.7250264821697314,-3.355914691181805
565000,-3.5445138018504654,-3.766862856217191,-3.3803134010733453
580000,-3.5787550245997664,-3.8084470529764856,-3.40556994316085
600000,-3.625341172422264,-3.8630978319743505,-3.4405319372354897
615000,-3.660795797419796,-3.903213294196523,-3.4676689717728206
630000,-3.6965247323277706,-3.9423719787188736,-3.495536713598354
645000,-3.7323724410378234,-3.98041523508281,-3.5240762023646717
660000,-3.768182446670612,-4.017213274163266,-3.553219385206016
675000,-3.8038008985988334,-4.052665334929283,-3.5828897889207254
688000,-3.8344007918847955,-4.082244753063682,-3.608965869782086
700000,-3.862341793148611,-4.108575125605263,-3.633281093511606
715000,-3.896752422736261,-4.140151243987776,-3.6639303278203883
732000,-3.9349200296098577,-4.174132247094872,-3.6988931237722587
750000,-3.974211567227856,-4.208037276766423,-3.736019709729744
765000,-4.005969347630599,-4.23469279900193,-3.7669199437965224
780000,-4.036758727315673,-4.259935624048714,-3.7976796768113283
800000,-4.076216840538521,-4.291477333959207,-3.8383098059855296
820000,-4.113778459689828,-4.320719029869533,-3.8783086117978827
840000,-4.149400729704198,-4.347799047313737,-3.917483871731422
860000,-4.183076059196194,-4.3728605219704,-3.9556674324765435
880000,-4.214825974947515,-4.396046656341991,-3.992717616524082
900000,-4.244695091858807,-4.4174973293552195,-4.02852020596657
920000,-4.2727455339155425,-4.437346788593109,-4.062988152909572
940000,-4.299052003460987,-4.45572218553021,-4.096060244603499
960000,-4.323697585333972,-4.472742747335195,-4.127698989534338
980000,-4.346770292298287,-4.488519415421111,-4.15788799304708
1000000,-4.368360306068511,-4.503154815802548,-4.186629066703787
